total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
37	15	10	18	46	10	54	2.11304	0.13362	1.00000	False	GOBP_RESPONSE_TO_DIETARY_EXCESS
40	21	14	26	38	17	47	1.89164	0.13392	1.00000	False	GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS
50	16	12	26	38	17	47	1.89164	0.13392	1.00000	False	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION
47	22	15	26	38	17	47	1.89164	0.13392	1.00000	False	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION
20	9	5	13	51	6	58	2.46405	0.13432	1.00000	False	GOBP_RESPONSE_TO_HYPEROXIA
28	9	7	13	51	6	58	2.46405	0.13432	1.00000	False	GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS
26	11	5	13	51	6	58	2.46405	0.13432	1.00000	False	GOBP_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS
33	15	9	27	37	18	46	1.86486	0.13820	1.00000	False	GOBP_RESPONSE_TO_AUDITORY_STIMULUS
35	22	15	27	37	18	46	1.86486	0.13820	1.00000	False	GOBP_NEURON_PROJECTION_ARBORIZATION
50	17	13	28	36	19	45	1.84211	0.14203	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE
31	9	11	11	53	19	45	0.49156	0.14340	1.00000	False	GOBP_EXCRETION
43	15	12	19	45	11	53	2.03434	0.14340	1.00000	False	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION
35	20	18	21	43	30	34	0.55349	0.14833	1.00000	False	GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL
30	14	5	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_MEMBRANE_RAFT_ORGANIZATION
24	11	7	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
19	7	4	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION
33	11	6	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION
12	6	4	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION
44	12	7	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_INTESTINAL_ABSORPTION
15	9	7	14	50	7	57	2.28000	0.15099	1.00000	False	GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION
